StationID,Region,Year,Date,TempMax(°C),TempMin(°C),Precipitation(mm),WindSpeed(km/h),Humidity(%),AirPressure(hPa),SolarRadiation(kWh/m²),CO2(ppm),SatelliteImageryIndex,WeatherStationScore,SensorReliabilityIndex,Rainfall(mm),,Date
STN004,Africa,2008,4/19/2008,40,14.1,1063.2,12.1,55.5,1011.6,1806.9,393.2,0.59,83.2,0.97,62.71,,NA
STN001,North America,2008,5/1/2008,37.8,14.9,829.1,12.4,79.1,998.8,1992.4,389,0.89,93.4,0.78,84.7,,1/5/2008
STN004,Africa,2008,9/11/2008,37,24,294.9,12.4,62.6,980.9,2158.9,395.2,0.86,84.8,0.92,90.98,,11/9/2008
STN003,Asia,2008,8/8/2008,27.1,7.5,625.8,12.8,44.8,997.4,1696.9,393.1,0.85,99.7,0.76,120.4,,8/8/2008
STN003,Asia,2008,9/24/2008,32.3,22.8,759.6,9.9,57.2,993.4,1172.2,388.3,0.98,88.3,0.86,219.89,,NA
STN002,Europe,2008,6/8/2008,26.8,9,707.8,7.4,69.6,995.1,1371.7,393.7,0.83,88.5,0.7,202.1,,8/6/2008
STN003,Asia,2008,5/28/2008,32.9,19.6,360.3,12.8,70.7,1019.8,2253.3,403.8,0.51,82.4,0.9,2.49,,NA
STN003,Asia,2009,2/18/2009,43.7,9.7,609.4,17.1,50.1,993.9,2192.8,387.9,0.52,87.3,0.89,63.55,,NA
STN003,Asia,2009,2/8/2009,25.5,11.1,896.4,19.8,56.7,995.1,2454.4,402.7,0.8,98.9,0.91,2.82,,8/2/2009
STN001,North America,2009,3/11/2009,20.7,6.5,764.5,13.9,75,1028.6,1963.7,391.6,0.64,85.7,0.78,57.4,,11/3/2009
STN003,Asia,2009,1/7/2009,23.6,11.2,749.7,16.4,53.1,984.7,1950.4,384,0.84,97.9,0.97,57.17,,7/1/2009
STN003,Asia,2009,12/18/2009,41.4,17.8,462.4,15.3,54,1005.7,1868.4,390.6,0.52,86.4,0.75,46.97,,NA
STN004,Africa,2009,2/11/2009,44.6,16.4,380.7,8.3,72.2,1004.3,1015.5,413.5,0.68,86,0.81,6.13,,11/2/2009
STN002,Europe,2009,8/16/2009,29.2,19.4,972.6,14.2,43.3,1029.7,2415.2,418.1,0.6,94.1,0.92,221.07,,NA
STN001,North America,2009,1/5/2009,38,19.8,456.7,17.5,64.3,1023.1,1241.7,400.5,0.69,99.2,0.9,142.73,,5/1/2009
STN002,Europe,2009,3/15/2009,23.3,18.4,499.7,11.5,43.1,980.1,1376.7,389.2,0.75,97.9,0.73,90.9,,NA
STN003,Asia,2009,11/8/2009,32.3,22.8,759.6,9.9,57.2,993.4,1172.2,388.3,0.98,88.3,0.86,227.66,,8/11/2009
STN001,North America,2009,10/5/2009,28.7,20.9,277.3,6.1,49.9,1004.6,2002.6,407.2,0.92,95.2,0.85,145.46,,5/10/2009
STN003,Asia,2009,2/12/2009,27.1,7.5,625.8,12.8,44.8,997.4,1696.9,393.1,0.85,99.7,0.76,221.33,,12/2/2009
STN002,Europe,2009,9/6/2009,44.5,18.7,868.2,9.5,44.8,1007.7,1848.4,419.8,0.64,85,0.87,125.75,,6/9/2009
STN003,Asia,2009,9/14/2009,24.8,13.6,1008.1,17.9,74.4,1000.6,1021.1,411,0.6,88.2,0.95,154.91,,NA
STN002,Europe,2009,3/5/2009,36.9,17.5,1028.6,9.9,78.3,987.6,1821.5,399,0.95,86.8,0.77,84.26,,5/3/2009
STN003,Asia,2009,3/8/2009,27.1,7.5,625.8,12.8,44.8,997.4,1696.9,393.1,0.85,99.7,0.76,223.97,,8/3/2009
STN002,Europe,2009,11/17/2009,36.9,17.5,1028.6,9.9,78.3,987.6,1821.5,399,0.95,86.8,0.77,74.27,,NA
STN001,North America,2009,7/15/2009,28.7,20.9,277.3,6.1,49.9,1004.6,2002.6,407.2,0.92,95.2,0.85,129.45,,NA
STN004,Africa,2009,7/22/2009,32.9,16.1,545.1,12,46.2,992.3,1531.3,414.2,0.6,84.8,0.85,9.23,,NA
STN001,North America,2009,6/13/2009,42.1,15.5,616.4,14.4,66.9,990.5,1764.8,416.1,0.58,86.2,0.73,156.22,,NA
STN003,Asia,2009,3/23/2009,24.8,13.6,1008.1,17.9,74.4,1000.6,1021.1,411,0.6,88.2,0.95,99.15,,NA
STN001,North America,2009,4/27/2009,33.9,16.5,207.4,8.5,74.8,987,1580.5,397.4,0.53,98.6,0.97,138.33,,NA
STN004,Africa,2009,4/23/2009,30.1,16.2,1174.8,10.5,47.3,1019.9,1272.3,405.5,0.9,97.4,0.8,58.42,,NA
STN002,Europe,2009,7/5/2009,41.8,20.9,277,10.5,61.1,988.3,1296.4,403.1,0.89,85,0.9,137.21,,5/7/2009
STN004,Africa,2009,8/8/2009,34.6,10.9,224.2,14.7,50.6,1005.8,2341.4,396,0.9,90.1,0.82,20.88,,8/8/2009
STN003,Asia,2009,7/21/2009,23.6,11.2,749.7,16.4,53.1,984.7,1950.4,384,0.84,97.9,0.97,73.87,,NA
STN001,North America,2009,12/8/2009,36,16.5,212.8,13.7,42.1,998.5,1631.5,403.4,0.77,80.1,0.7,139.58,,8/12/2009
STN003,Asia,2009,11/23/2009,24.7,11.1,958.8,18.3,47.8,1007.8,1031.1,382.3,0.98,92.7,0.8,222.45,,NA
STN003,Asia,2009,5/12/2009,31.1,17,775.4,6,69.8,1018.3,1464.6,392.2,0.8,85.8,0.73,67.98,,12/5/2009
STN001,North America,2009,1/4/2009,24.6,13,399.3,10.4,72.9,995.2,1952.5,400.8,0.65,90.5,0.91,245.22,,4/1/2009
STN003,Asia,2009,4/17/2009,40,18.4,588.3,13.5,60.1,1021.6,1347.1,419.1,0.72,80.5,0.98,131.84,,NA
STN003,Asia,2009,11/12/2009,25.5,11.1,896.4,19.8,56.7,995.1,2454.4,402.7,0.8,98.9,0.91,64.74,,12/11/2009
STN004,Africa,2009,11/19/2009,30.7,17.8,800.1,10.8,40.5,985.8,1991.6,397.5,0.96,86.5,0.77,245.63,,NA
STN002,Europe,2009,2/18/2009,36.9,17.5,1028.6,9.9,78.3,987.6,1821.5,399,0.95,86.8,0.77,236.46,,NA
STN001,North America,2009,2/3/2009,36,16.5,212.8,13.7,42.1,998.5,1631.5,403.4,0.77,80.1,0.7,27.27,,3/2/2009
STN003,Asia,2009,6/26/2009,25.5,11.1,896.4,19.8,56.7,995.1,2454.4,402.7,0.8,98.9,0.91,248.68,,NA
STN004,Africa,2009,7/24/2009,32.3,5.8,892.9,13.6,41.7,1001.2,1788.5,388.5,0.66,99.4,0.95,68.26,,NA
STN001,North America,2009,9/14/2009,30.8,10.3,327.1,17.8,48.8,999.4,1241.2,393.6,0.73,98.2,0.78,133.7,,NA
STN003,Asia,2009,12/9/2009,23.6,11.2,749.7,16.4,53.1,984.7,1950.4,384,0.84,97.9,0.97,26.43,,9/12/2009
STN004,Africa,2009,12/3/2009,30.1,16.2,1174.8,10.5,47.3,1019.9,1272.3,405.5,0.9,97.4,0.8,170.44,,3/12/2009
STN002,Europe,2009,7/7/2009,20.7,24,255.3,9.4,46,1001.7,1656.2,391.5,0.52,81.5,0.77,81.75,,7/7/2009
STN001,North America,2009,7/3/2009,30.8,10.3,327.1,17.8,48.8,999.4,1241.2,393.6,0.73,98.2,0.78,63.83,,3/7/2009
STN003,Asia,2009,8/12/2009,32.9,19.6,360.3,12.8,70.7,1019.8,2253.3,403.8,0.51,82.4,0.9,178.83,,12/8/2009
STN003,Asia,2009,4/22/2009,32.3,22.8,759.6,9.9,57.2,993.4,1172.2,388.3,0.98,88.3,0.86,33.86,,NA
STN003,Asia,2009,8/25/2009,25.5,11.1,896.4,19.8,56.7,995.1,2454.4,402.7,0.8,98.9,0.91,56.68,,NA
STN002,Europe,2009,1/2/2009,29.2,19.4,972.6,14.2,43.3,1029.7,2415.2,418.1,0.6,94.1,0.92,234.66,,2/1/2009
STN002,Europe,2009,3/1/2009,40.1,21.9,241.6,9.5,53,996.6,2212.3,387.3,0.85,89.4,0.88,159.92,,1/3/2009
STN001,North America,2009,5/14/2009,36.5,24.7,354.4,13.2,47.5,991.9,1266.3,386.3,0.81,80.6,0.8,5.19,,NA
STN002,Europe,2009,11/21/2009,44.6,17.7,761.2,10.1,52.7,1008.2,1735.2,388.2,0.57,92.7,0.73,182.17,,NA
STN001,North America,2009,4/7/2009,37.8,14.9,829.1,12.4,79.1,998.8,1992.4,389,0.89,93.4,0.78,216.9,,7/4/2009
STN003,Asia,2009,4/8/2009,32.4,14.9,1023.5,18.8,77.7,998.3,2369.7,391.4,0.66,96.4,0.73,114.88,,8/4/2009
STN004,Africa,2010,12/23/2010,40,14.1,1063.2,12.1,55.5,1011.6,1806.9,393.2,0.59,83.2,0.97,165.54,,NA
STN004,Africa,2010,4/6/2010,34.3,6.3,707.8,16.7,68.6,1004.4,1522.9,397.5,0.76,97.2,0.9,55.7,,6/4/2010
STN002,Europe,2010,7/28/2010,20.7,24,255.3,9.4,46,1001.7,1656.2,391.5,0.52,81.5,0.77,126.68,,NA
STN001,North America,2010,1/1/2010,36.5,24.7,354.4,13.2,47.5,991.9,1266.3,386.3,0.81,80.6,0.8,39.74,,1/1/2010
STN003,Asia,2010,10/22/2010,33.8,13.7,434.5,18.8,42.8,1014.6,1481,411.9,0.68,84.8,0.89,126.64,,NA
STN004,Africa,2010,4/3/2010,30.7,17.8,800.1,10.8,40.5,985.8,1991.6,397.5,0.96,86.5,0.77,119.59,,3/4/2010
STN001,North America,2010,10/28/2010,43.1,20.5,582.8,15.7,46.6,992.3,1371,398.5,0.54,81,0.97,169.05,,NA
STN002,Europe,2010,11/25/2010,28.4,16.3,693.7,20,50.7,1019.2,2134,415.2,0.58,86.5,0.95,175.81,,NA
STN001,North America,2010,2/7/2010,42.8,17.4,1140.4,10.2,59.5,1020.4,2132.9,397.1,0.8,97.7,0.71,125.06,,7/2/2010
STN002,Europe,2010,11/26/2010,42.6,19.7,1057.1,5.7,47,1009.2,1085.9,381.5,0.77,80.7,0.77,166.52,,NA
STN001,North America,2010,4/25/2010,20.1,6.3,486.4,11.4,75.1,991.4,2206.1,403.6,0.56,96.1,0.89,40.8,,NA
STN002,Europe,2010,8/2/2010,30.5,22.1,912.7,18.1,53.5,998.1,1032.2,383.7,0.54,95.2,0.71,213.26,,2/8/2010
STN003,Asia,2010,12/6/2010,33.2,13.8,924.3,17.4,75.7,995.2,1208.5,394.9,0.59,95.4,0.89,142.67,,6/12/2010
STN002,Europe,2010,9/26/2010,43.5,14.6,840.9,8.9,72.7,1010.1,1640.3,384.6,0.55,83.7,0.97,157.29,,NA
STN003,Asia,2010,2/18/2010,32.4,14.9,1023.5,18.8,77.7,998.3,2369.7,391.4,0.66,96.4,0.73,158.94,,NA
STN002,Europe,2010,2/12/2010,42.6,19.7,1057.1,5.7,47,1009.2,1085.9,381.5,0.77,80.7,0.77,222.02,,12/2/2010
STN002,Europe,2010,3/20/2010,26.8,9,707.8,7.4,69.6,995.1,1371.7,393.7,0.83,88.5,0.7,165.81,,NA
STN002,Europe,2010,2/11/2010,39.5,6.5,291.3,11.2,79.9,986.3,1419.7,386.1,0.76,88.6,0.82,222.69,,11/2/2010
STN003,Asia,2010,11/3/2010,33.2,13.8,924.3,17.4,75.7,995.2,1208.5,394.9,0.59,95.4,0.89,139.52,,3/11/2010
STN001,North America,2010,4/4/2010,43.1,20.5,582.8,15.7,46.6,992.3,1371,398.5,0.54,81,0.97,226.89,,4/4/2010
STN004,Africa,2010,2/24/2010,30.5,5.1,436.5,11.3,75.7,1019.4,1693.8,397.3,0.65,82.2,0.74,101.2,,NA
STN002,Europe,2010,5/7/2010,44.5,18.7,868.2,9.5,44.8,1007.7,1848.4,419.8,0.64,85,0.87,75.92,,7/5/2010
STN004,Africa,2010,2/22/2010,37,24,294.9,12.4,62.6,980.9,2158.9,395.2,0.86,84.8,0.92,81.53,,NA
STN003,Asia,2010,9/26/2010,33.2,13.8,924.3,17.4,75.7,995.2,1208.5,394.9,0.59,95.4,0.89,202.57,,NA
STN003,Asia,2010,11/10/2010,41.4,17.8,462.4,15.3,54,1005.7,1868.4,390.6,0.52,86.4,0.75,175.77,,10/11/2010
STN001,North America,2010,8/10/2010,29.1,20.3,799.2,17.6,67.5,1020.6,1227.7,381,0.54,90.4,0.8,225.19,,10/8/2010
STN001,North America,2010,6/4/2010,36.5,24.7,354.4,13.2,47.5,991.9,1266.3,386.3,0.81,80.6,0.8,158.2,,4/6/2010
STN003,Asia,2010,8/23/2010,33.8,13.7,434.5,18.8,42.8,1014.6,1481,411.9,0.68,84.8,0.89,121.28,,NA
STN002,Europe,2010,12/12/2010,40.1,21.9,241.6,9.5,53,996.6,2212.3,387.3,0.85,89.4,0.88,40.68,,12/12/2010
STN004,Africa,2010,1/28/2010,38.1,11.5,399.5,19.4,57.2,1019.2,1874.7,414.3,0.72,90.8,0.93,5.53,,NA
STN004,Africa,2010,2/27/2010,34.3,6.3,707.8,16.7,68.6,1004.4,1522.9,397.5,0.76,97.2,0.9,157.66,,NA
STN004,Africa,2010,3/4/2010,32.9,16.1,545.1,12,46.2,992.3,1531.3,414.2,0.6,84.8,0.85,242.96,,4/3/2010
STN003,Asia,2010,11/24/2010,33.2,13.8,924.3,17.4,75.7,995.2,1208.5,394.9,0.59,95.4,0.89,62.89,,NA
STN002,Europe,2010,11/6/2010,34.2,20.2,1196.4,5.7,69.3,1008,1606,389,0.97,96.2,0.89,8.14,,6/11/2010
STN004,Africa,2010,10/22/2010,30.5,5.1,436.5,11.3,75.7,1019.4,1693.8,397.3,0.65,82.2,0.74,219.28,,NA
STN001,North America,2010,10/16/2010,30.9,22.9,479.1,13.5,58.8,1001,1347.9,399.5,0.63,84.6,0.88,75.12,,NA
STN002,Europe,2010,9/10/2010,23,12.2,711,17.7,70.2,1018.5,2240,418.6,0.61,91.2,0.77,44,,10/9/2010
STN003,Asia,2010,9/28/2010,33.8,13.7,434.5,18.8,42.8,1014.6,1481,411.9,0.68,84.8,0.89,11.79,,NA
STN004,Africa,2010,11/24/2010,30.1,16.2,1174.8,10.5,47.3,1019.9,1272.3,405.5,0.9,97.4,0.8,5.32,,NA
STN002,Europe,2010,6/5/2010,30.5,22.1,912.7,18.1,53.5,998.1,1032.2,383.7,0.54,95.2,0.71,195.67,,5/6/2010
STN001,North America,2010,4/1/2010,42.1,15.5,616.4,14.4,66.9,990.5,1764.8,416.1,0.58,86.2,0.73,20.61,,1/4/2010
STN002,Europe,2010,3/21/2010,23,12.2,711,17.7,70.2,1018.5,2240,418.6,0.61,91.2,0.77,129.74,,NA
STN003,Asia,2010,3/21/2010,34.4,23.2,404,7.3,73.9,1021.9,2220.1,391.5,0.87,86.6,0.89,86.12,,NA
STN002,Europe,2010,12/5/2010,34.2,20.2,1196.4,5.7,69.3,1008,1606,389,0.97,96.2,0.89,154.8,,5/12/2010
STN002,Europe,2010,10/22/2010,39.5,6.5,291.3,11.2,79.9,986.3,1419.7,386.1,0.76,88.6,0.82,188.18,,NA
STN002,Europe,2010,2/3/2010,29.2,19.4,972.6,14.2,43.3,1029.7,2415.2,418.1,0.6,94.1,0.92,177.99,,3/2/2010
STN004,Africa,2010,5/3/2010,34.3,6.3,707.8,16.7,68.6,1004.4,1522.9,397.5,0.76,97.2,0.9,108.72,,3/5/2010
STN002,Europe,2010,3/19/2010,36.9,17.5,1028.6,9.9,78.3,987.6,1821.5,399,0.95,86.8,0.77,216.94,,NA
STN003,Asia,2010,8/1/2010,33.8,13.7,434.5,18.8,42.8,1014.6,1481,411.9,0.68,84.8,0.89,83.65,,1/8/2010
STN004,Africa,2010,7/16/2010,39.4,5.4,302.7,6.2,65,1028.5,2327.8,405.8,0.8,81.3,0.86,0.76,,NA
STN002,Europe,2011,9/24/2011,28.4,16.3,693.7,20,50.7,1019.2,2134,415.2,0.58,86.5,0.95,139.62,,NA
STN003,Asia,2011,2/4/2011,34.1,12.2,930.2,15.3,40.9,997.1,1080.8,413.1,0.91,89.9,0.73,15.03,,4/2/2011
STN001,North America,2011,6/12/2011,30.8,10.3,327.1,17.8,48.8,999.4,1241.2,393.6,0.73,98.2,0.78,64.8,,12/6/2011
STN002,Europe,2011,7/11/2011,39.5,6.5,291.3,11.2,79.9,986.3,1419.7,386.1,0.76,88.6,0.82,14.42,,11/7/2011
STN002,Europe,2011,3/22/2011,24.3,16,821.8,19.3,51.5,1025.8,1164.4,390.6,0.99,85.6,0.89,25.3,,NA
STN001,North America,2011,7/16/2011,30.8,10.3,327.1,17.8,48.8,999.4,1241.2,393.6,0.73,98.2,0.78,108.66,,NA
STN004,Africa,2011,4/16/2011,35.4,22.5,1112.7,8.4,50.5,992.7,1605.5,386,0.98,94.3,0.7,201.21,,NA
STN004,Africa,2011,2/5/2011,32.3,5.8,892.9,13.6,41.7,1001.2,1788.5,388.5,0.66,99.4,0.95,3.75,,5/2/2011
STN002,Europe,2011,3/5/2011,23.3,18.4,499.7,11.5,43.1,980.1,1376.7,389.2,0.75,97.9,0.73,130.27,,5/3/2011
STN003,Asia,2011,6/24/2011,24.8,13.6,1008.1,17.9,74.4,1000.6,1021.1,411,0.6,88.2,0.95,28.96,,NA
STN002,Europe,2011,12/15/2011,20.2,12.5,1006,19.8,52,991.2,1875.2,386.7,0.98,92.5,0.89,94,,NA
STN004,Africa,2011,1/21/2011,38.1,11.5,399.5,19.4,57.2,1019.2,1874.7,414.3,0.72,90.8,0.93,105.84,,NA
STN004,Africa,2011,11/24/2011,30.1,16.2,1174.8,10.5,47.3,1019.9,1272.3,405.5,0.9,97.4,0.8,183.03,,NA
STN002,Europe,2011,4/5/2011,20.7,24,255.3,9.4,46,1001.7,1656.2,391.5,0.52,81.5,0.77,58.51,,5/4/2011
STN002,Europe,2011,9/4/2011,24.3,5.6,604.3,19.6,52.7,1012.2,1038,384.4,0.59,90.2,0.75,106.87,,4/9/2011
STN001,North America,2011,6/10/2011,36,16.5,212.8,13.7,42.1,998.5,1631.5,403.4,0.77,80.1,0.7,228.99,,10/6/2011
STN003,Asia,2011,6/13/2011,23.6,11.2,749.7,16.4,53.1,984.7,1950.4,384,0.84,97.9,0.97,45.99,,NA
STN001,North America,2011,6/10/2011,34.5,20,334,12.6,43.3,1000.6,2307.1,392.2,0.5,82.9,0.87,65.55,,10/6/2011
STN003,Asia,2011,2/4/2011,32.9,19.6,360.3,12.8,70.7,1019.8,2253.3,403.8,0.51,82.4,0.9,76.14,,4/2/2011
STN001,North America,2011,11/4/2011,28.2,15.2,663.3,11.5,51.2,1026.9,1099.9,386.3,0.8,84.6,0.86,199.68,,4/11/2011
STN001,North America,2011,5/1/2011,34.5,20,334,12.6,43.3,1000.6,2307.1,392.2,0.5,82.9,0.87,13.34,,1/5/2011
STN001,North America,2011,6/6/2011,38,19.8,456.7,17.5,64.3,1023.1,1241.7,400.5,0.69,99.2,0.9,209.92,,6/6/2011
STN002,Europe,2011,5/5/2011,40.1,21.9,241.6,9.5,53,996.6,2212.3,387.3,0.85,89.4,0.88,133.6,,5/5/2011
STN004,Africa,2011,6/28/2011,44.5,18.3,800.8,19.9,56.2,988.2,2429,407.2,0.89,84.4,0.91,147.16,,NA
STN001,North America,2011,3/7/2011,21.7,7.7,944.6,17.7,45,1020.3,1723.3,385.1,0.65,96.1,0.92,139.21,,7/3/2011
STN004,Africa,2011,5/7/2011,39.4,5.4,302.7,6.2,65,1028.5,2327.8,405.8,0.8,81.3,0.86,78.18,,7/5/2011
STN002,Europe,2011,11/16/2011,20.2,12.5,1006,19.8,52,991.2,1875.2,386.7,0.98,92.5,0.89,178.55,,NA
STN001,North America,2011,3/6/2011,33.9,16.5,207.4,8.5,74.8,987,1580.5,397.4,0.53,98.6,0.97,167.15,,6/3/2011
STN004,Africa,2011,4/24/2011,34.3,6.3,707.8,16.7,68.6,1004.4,1522.9,397.5,0.76,97.2,0.9,210.3,,NA
STN001,North America,2011,4/17/2011,21.7,7.7,944.6,17.7,45,1020.3,1723.3,385.1,0.65,96.1,0.92,79.38,,NA
STN004,Africa,2011,3/6/2011,34.8,14,363.3,10.8,74.4,1015.3,1468.1,411,0.56,94.6,0.75,173.14,,6/3/2011
STN004,Africa,2011,12/25/2011,44.6,16.4,380.7,8.3,72.2,1004.3,1015.5,413.5,0.68,86,0.81,138.72,,NA
STN004,Africa,2011,11/9/2011,44.5,18.3,800.8,19.9,56.2,988.2,2429,407.2,0.89,84.4,0.91,83.74,,9/11/2011
STN003,Asia,2011,5/26/2011,41.4,17.8,462.4,15.3,54,1005.7,1868.4,390.6,0.52,86.4,0.75,163.4,,NA
STN002,Europe,2011,12/25/2011,23,12.2,711,17.7,70.2,1018.5,2240,418.6,0.61,91.2,0.77,168.24,,NA
STN002,Europe,2011,11/5/2011,34.2,20.2,1196.4,5.7,69.3,1008,1606,389,0.97,96.2,0.89,233.41,,5/11/2011
STN004,Africa,2011,11/22/2011,34.6,10.9,224.2,14.7,50.6,1005.8,2341.4,396,0.9,90.1,0.82,180.18,,NA
STN002,Europe,2011,1/27/2011,20.7,24,255.3,9.4,46,1001.7,1656.2,391.5,0.52,81.5,0.77,65.11,,NA
STN002,Europe,2011,3/20/2011,41.8,20.9,277,10.5,61.1,988.3,1296.4,403.1,0.89,85,0.9,67.48,,NA
STN001,North America,2011,7/6/2011,30.9,22.9,479.1,13.5,58.8,1001,1347.9,399.5,0.63,84.6,0.88,15.34,,6/7/2011
STN002,Europe,2011,10/8/2011,39.5,6.5,291.3,11.2,79.9,986.3,1419.7,386.1,0.76,88.6,0.82,105.34,,8/10/2011
STN001,North America,2011,2/14/2011,33.9,16.5,207.4,8.5,74.8,987,1580.5,397.4,0.53,98.6,0.97,161.35,,NA
STN002,Europe,2011,4/5/2011,24.3,5.6,604.3,19.6,52.7,1012.2,1038,384.4,0.59,90.2,0.75,2.49,,5/4/2011
STN002,Europe,2011,8/4/2011,26.8,9,707.8,7.4,69.6,995.1,1371.7,393.7,0.83,88.5,0.7,96.09,,4/8/2011
STN003,Asia,2011,6/2/2011,32.4,14.9,1023.5,18.8,77.7,998.3,2369.7,391.4,0.66,96.4,0.73,223.66,,2/6/2011
STN001,North America,2011,7/22/2011,29.1,20.3,799.2,17.6,67.5,1020.6,1227.7,381,0.54,90.4,0.8,38.62,,NA
STN004,Africa,2011,5/17/2011,20.7,14.2,815.4,6.8,43.5,981.9,2019.3,390,0.68,90.2,0.96,72.08,,NA
STN004,Africa,2011,4/21/2011,32.8,9.3,377.1,6.8,68.9,996.8,1137.3,389.5,0.93,92.8,0.76,68.65,,NA
STN004,Africa,2011,3/23/2011,37,24,294.9,12.4,62.6,980.9,2158.9,395.2,0.86,84.8,0.92,152.6,,NA
STN001,North America,2011,12/12/2011,24.6,13,399.3,10.4,72.9,995.2,1952.5,400.8,0.65,90.5,0.91,37.22,,12/12/2011
STN001,North America,2012,11/12/2012,42.1,15.5,616.4,14.4,66.9,990.5,1764.8,416.1,0.58,86.2,0.73,35.98,,12/11/2012
STN002,Europe,2012,9/3/2012,40.1,21.9,241.6,9.5,53,996.6,2212.3,387.3,0.85,89.4,0.88,92.04,,3/9/2012
STN004,Africa,2012,10/11/2012,44.5,18.3,800.8,19.9,56.2,988.2,2429,407.2,0.89,84.4,0.91,45.92,,11/10/2012
STN003,Asia,2012,7/24/2012,23.3,6.8,865,7,63.1,992.1,1686.1,397.5,0.65,86.3,0.98,55.15,,NA
STN002,Europe,2012,2/11/2012,41.8,20.9,277,10.5,61.1,988.3,1296.4,403.1,0.89,85,0.9,121.79,,11/2/2012
STN004,Africa,2012,7/8/2012,32.2,6.4,881.8,19.6,56.4,1007.3,1963.2,406.6,0.95,82.2,0.97,30.51,,8/7/2012
STN001,North America,2012,1/25/2012,28.2,15.2,663.3,11.5,51.2,1026.9,1099.9,386.3,0.8,84.6,0.86,168.17,,NA
STN004,Africa,2012,10/25/2012,30.7,17.8,800.1,10.8,40.5,985.8,1991.6,397.5,0.96,86.5,0.77,119.34,,NA
STN004,Africa,2012,1/11/2012,40,14.1,1063.2,12.1,55.5,1011.6,1806.9,393.2,0.59,83.2,0.97,124.37,,11/1/2012
STN001,North America,2012,4/11/2012,30.9,22.9,479.1,13.5,58.8,1001,1347.9,399.5,0.63,84.6,0.88,83.2,,11/4/2012
STN002,Europe,2012,6/1/2012,30.5,22.1,912.7,18.1,53.5,998.1,1032.2,383.7,0.54,95.2,0.71,158.08,,1/6/2012
STN001,North America,2012,12/11/2012,42.8,17.4,1140.4,10.2,59.5,1020.4,2132.9,397.1,0.8,97.7,0.71,189.11,,11/12/2012
STN001,North America,2012,10/8/2012,38,19.8,456.7,17.5,64.3,1023.1,1241.7,400.5,0.69,99.2,0.9,4.21,,8/10/2012
STN001,North America,2012,6/1/2012,33.9,16.5,207.4,8.5,74.8,987,1580.5,397.4,0.53,98.6,0.97,28.53,,1/6/2012
STN001,North America,2012,10/13/2012,30.8,10.3,327.1,17.8,48.8,999.4,1241.2,393.6,0.73,98.2,0.78,225.7,,NA
STN004,Africa,2012,6/28/2012,39.4,5.4,302.7,6.2,65,1028.5,2327.8,405.8,0.8,81.3,0.86,30.52,,NA
STN001,North America,2012,11/20/2012,43.1,20.5,582.8,15.7,46.6,992.3,1371,398.5,0.54,81,0.97,140.72,,NA
STN001,North America,2012,9/15/2012,20.7,6.5,764.5,13.9,75,1028.6,1963.7,391.6,0.64,85.7,0.78,79.07,,NA
STN003,Asia,2012,9/18/2012,40,18.4,588.3,13.5,60.1,1021.6,1347.1,419.1,0.72,80.5,0.98,0.14,,NA
STN001,North America,2012,7/27/2012,22.7,21,570.4,19.8,40.4,992.5,1743.6,402.3,0.97,82.4,0.9,246.54,,NA
STN004,Africa,2012,8/1/2012,34.8,14,363.3,10.8,74.4,1015.3,1468.1,411,0.56,94.6,0.75,91.27,,1/8/2012
STN001,North America,2012,1/19/2012,43.1,20.5,582.8,15.7,46.6,992.3,1371,398.5,0.54,81,0.97,124.63,,NA
STN003,Asia,2012,8/5/2012,34.1,12.2,930.2,15.3,40.9,997.1,1080.8,413.1,0.91,89.9,0.73,65.37,,5/8/2012
STN001,North America,2012,5/13/2012,43.1,20.5,582.8,15.7,46.6,992.3,1371,398.5,0.54,81,0.97,7.5,,NA
STN003,Asia,2012,1/28/2012,23.6,11.2,749.7,16.4,53.1,984.7,1950.4,384,0.84,97.9,0.97,221.16,,NA
STN002,Europe,2012,7/6/2012,44.5,18.7,868.2,9.5,44.8,1007.7,1848.4,419.8,0.64,85,0.87,43.14,,6/7/2012
STN002,Europe,2012,8/11/2012,40.1,21.9,241.6,9.5,53,996.6,2212.3,387.3,0.85,89.4,0.88,30.95,,11/8/2012
STN004,Africa,2012,10/26/2012,32.2,6.4,881.8,19.6,56.4,1007.3,1963.2,406.6,0.95,82.2,0.97,228.1,,NA
STN003,Asia,2012,11/9/2012,21.4,18.9,828.5,10,52.4,993,2058.6,408,0.89,98.2,0.94,202.7,,9/11/2012
STN002,Europe,2012,7/11/2012,36.9,17.5,1028.6,9.9,78.3,987.6,1821.5,399,0.95,86.8,0.77,217.19,,11/7/2012
STN004,Africa,2012,2/4/2012,37,24,294.9,12.4,62.6,980.9,2158.9,395.2,0.86,84.8,0.92,89.74,,4/2/2012
STN004,Africa,2012,5/13/2012,32.9,16.1,545.1,12,46.2,992.3,1531.3,414.2,0.6,84.8,0.85,60.16,,NA
STN003,Asia,2012,10/25/2012,32.9,19.6,360.3,12.8,70.7,1019.8,2253.3,403.8,0.51,82.4,0.9,245.55,,NA
STN004,Africa,2012,12/7/2012,38.1,11.5,399.5,19.4,57.2,1019.2,1874.7,414.3,0.72,90.8,0.93,46.6,,7/12/2012
STN001,North America,2012,7/22/2012,29.1,20.3,799.2,17.6,67.5,1020.6,1227.7,381,0.54,90.4,0.8,105.26,,NA
